gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000015173,39.89322897,35.35529322,38.63329131,34.65470029,36.37417992,36.74854288,2531,2134,2572,2381,2415,2438
ENSRNOG00000047410,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000050818,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000050819,42.1258799,43.50855629,48.53125255,39.5767218,47.88527978,44.64905642,517,508,625,526,615,573
ENSRNOG00000043306,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000043304,60.47909317,59.63938939,60.87570862,57.5635835,56.51485913,55.58232529,2668,2503,2818,2750,2609,2564
ENSRNOG00000043302,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000043303,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000043300,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000017832,82.53408508,81.42319621,81.58617309,78.08604496,75.92747253,74.71434758,2360,2215,2448,2418,2272,2234
ENSRNOG00000021085,130.1762536,134.9404648,135.5919121,136.1800047,127.0996333,128.5723814,8323,8208,9097,9429,8504,8596
